time,x,y,z,temp,pos_x,pos_y,pos_z,disp_x,disp_y,disp_z,vel_x,vel_y,vel_z,ang_vel_x,ang_vel_y,ang_vel_z,kinetic_e,yielded,strain_x,strain_y,strain_z,pressure,bond_stress,fail_stress,safety_factor,volume,cte,t
0.002468,5,5,15,25.000000,0.005500,0.005500,0.015470,0.000000,0.000000,-0.000030,-0.000000,-0.000000,-0.023827,0.000000,0.000000,0.000000,0.000000,false,0.000000,0.000000,0.000000,-inf,0.000000,0.000000,0.000000,0.0000000010000000,0.000000,0.000000
0.004935,5,5,15,25.000000,0.005500,0.005500,0.015383,0.000000,0.000000,-0.000117,-0.000000,-0.000000,-0.046908,0.000000,0.000000,0.000000,0.000000,false,0.000000,0.000000,0.000000,-inf,0.000000,0.000000,0.000000,0.0000000010000000,0.000000,0.000000
0.007403,5,5,15,25.000000,0.005500,0.005500,0.015239,0.000000,0.000000,-0.000261,-0.000000,-0.000000,-0.069265,0.000000,0.000000,0.000000,0.000000,false,0.000000,0.000000,0.000000,-inf,0.000000,0.000000,0.000000,0.0000000010000000,0.000000,0.000000
0.009871,5,5,15,25.000000,0.005500,0.005500,0.015042,0.000000,0.000000,-0.000458,-0.000000,-0.000000,-0.090922,0.000000,0.000000,0.000000,0.000000,false,0.000000,0.000000,0.000000,-inf,0.000000,0.000000,0.000000,0.0000000010000000,0.000000,0.000000
0.012338,5,5,15,25.000000,0.005500,0.005500,0.014791,0.000000,0.000000,-0.000709,-0.000000,-0.000000,-0.111901,0.000000,0.000000,0.000000,0.000000,false,0.000000,0.000000,0.000000,-inf,0.000000,0.000000,0.000000,0.0000000010000000,0.000000,0.000000
0.014806,5,5,15,25.000000,0.005500,0.005500,0.014490,0.000000,0.000000,-0.001010,-0.000000,-0.000000,-0.132222,0.000000,0.000000,0.000000,0.000000,false,0.000000,0.000000,0.000000,-inf,-0.000000,0.000000,0.000000,0.0000000010000000,0.000000,0.000000
0.017274,5,5,15,25.000000,0.005500,0.005500,0.014139,0.000000,0.000000,-0.001361,-0.000000,-0.000000,-0.151906,0.000000,0.000000,0.000000,0.000000,false,0.000000,0.000000,0.000000,-inf,-0.000000,0.000000,0.000000,0.0000000010000000,0.000000,0.000000
0.019741,5,5,15,25.000000,0.005500,0.005500,0.013741,0.000000,0.000000,-0.001759,-0.000000,-0.000000,-0.170974,0.000000,0.000000,0.000000,0.000000,false,0.000000,0.000000,0.000000,-inf,0.000000,0.000000,0.000000,0.0000000010000000,0.000000,0.000000
0.022209,5,5,15,25.000000,0.005500,0.005500,0.013296,0.000000,0.000000,-0.002204,-0.000000,-0.000000,-0.189445,0.000000,0.000000,0.000000,0.000000,false,0.000000,0.000000,0.000000,-inf,-0.000000,0.000000,0.000000,0.0000000010000000,0.000000,0.000000
0.024677,5,5,15,25.000000,0.005499,0.005500,0.013059,-0.000001,0.000000,-0.002441,-0.001549,0.000115,0.152595,0.244613,30.453948,-0.013284,0.000000,false,0.000352,0.000304,0.000065,-inf,-0.042276,0.000000,0.000000,0.0000000010007215,0.000000,0.000000
